,BN,CL,COND,DB,DBDR,DBN,DDR,DIR,FL,HN,HP,HPD,I,LEAD,MAND,MGL,MOVT,MOVTS,MS,NEW,No,OB,ORCH,ORG,PF,REVIEW,TPT,V,VA,VAR,VC,VDAG,VN
4,,,,,,,,,,,,,,,,,,,,,295,,,,,,,GALLI~,,,,,
0,,,,,,,,,,,,,,,,,,,,,296,,,,,True,,GALLI~,,,,,
1,,,,,,,,,,,,,,,,,,,,,296,,,,,,,MANFREDINI,,,,,
0,,,,,,,,,,,,,,CHABRAN,,,,,,,298,,,,,True,,GALLI~,,,,,
1,,,,,,,,,,,,,,,,,,,,,298,,,,,,,CHABRAN~,,,,,
0,,,,,,,,,,,,,,,,,,,,,299,,,,,True,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,300,,,,,,,FOURMANTEL~,,,,,
0,,,,,,,,,,,,,,,,,,,,,301,PLA-g,,,,,,GIARDINI~,,,,,
1,,,,,,,,,,,,,,,,,,,,,301,PLA-j,,,,,,CHABRAN~,,,,,
0,,,,,,,,,,,,,,PASSERINI,,,,,,,304,,,,,True,,SERASINI,,,LANZETTI,,
1,,,,,,,,,,,,,,,,,,,,,304,,,,,,,ALBUZIO,,,GORDON,,
0,,,,,,,,,,,,,,,,,,,,,305,,,,,,,WASS,,,,,
1,,,,,,,,,,,,,,,,,,,,,305,,,,,,,BEARD,,,,,
2,,,,,,,,,,,,,,,,,,,,,305,,,,,,,FRASI~,,,,,
0,MILLER-j,,,,,,,,,,,,,CHABRAN,,,,,,,307,EIFFERT,,,,,,GALLI~,,,CERVETTO-gb,,
1,,,,,,,,,,,,,,,,,,,,,307,,,,,,,STEVENSON~,,,,,
0,,,,,,,,,,,,,,,,,,,,,308,,,,,True,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,309,,,,,,,TURNER~e,,,,,
1,,,,,,,,,,,,,,,,,,,,,309,,,,,,,TURNER~1,,,,,
0,,,,,,,,,,,,,,GIARDINI,,,,,,,310,,,,,True,,YOUNG~i,,,,,
0,,,,,,,,,,,,,,GIARDINI,,,,,,,319,,,,,True,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,320,,,,,True,,,,,,,
0,,,,,,,,,,,,,,PASSERINI,,,,,,,321,PLA-g,,,,True,,PASSERINI~,,,LANZETTI,,
1,,,,,,,,,,,,,,,,,,,,,321,PLA-j,,,,,,SERASINI,,,GORDON,,
2,,,,,,,,,,,,,,,,,,,,,321,,,,,,,ALBUZIO,,,,,
0,,,,,,,,,,,,,,BROWN-a,,,,,,,323,,,,,,,BEARD,,,,,
1,,,,,,,,,,,,,,,,,,,,,323,,,,,,,FRASI~,,,,,
2,,,,,,,,,,,,,,,,,,,,,323,,,,,,,GALLI~,,,,,
3,,,,,,,,,,,,,,,,,,,,,323,,,,,,,PASSERINI~,,,,,
4,,,,,,,,,,,,,,,,,,,,,323,,,,,,,WASS,,,,,
0,,,,,,,,,,,,,,GIARDINI,,,,,,,324,,,,,True,,,,,,,
0,,,,,,,,,,,,,,LATES-j,,,,,,,325,,,,,True,,LATES~,,,,,
0,BAUMGARTEN-s,,,,,,,,,,,STANLEY,,BROWN-a,,,,,,,326,EIFFERT,,,,,ABINGTON,TURNER~e,,,CERVETTO-gb,,FROUD
1,,,,,,,,,,,,,,,,,,,,,326,,,,,,,BEARD,,,,,
0,,,,,,,,,,,,,,LATES-j,,,,,,,334,,,,,True,,LATES~,,,,,
0,,,,,,,,,,,,,,,,,,,,,335,,,,,True,,CURIONI~,,,,,
0,,,,,,,,,,,,,CATTANEI,,,,,,,,337,,,,,,,CURIONI~,,,,,
0,,,,,,,,,,,,,,,,,,,,,340,,,,,True,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,343,,,,,True,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,346,,,,,True,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,348,,,,,True,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,353,,,,,,,MINGOTTI~,,,,,
1,,,,,,,,,,,,,,,,,,,,,353,,,,,,,FRASI~,,,,,
2,,,,,,,,,,,,,,,,,,,,,353,,,,,,,CURIONI~,,,,,
0,,,,,,,,,,,,,,,,,,,,,354,,,,,True,,TURNER~e,,,,,
1,,,,,,,,,,,,,,,,,,,,,354,,,,,,,TURNER~1,,,,,
0,,,,,,,,,,,,,,GIARDINI,,,,,,,355,,,,,,,,,,,,
0,,,,,,,,,,,,,,GIARDINI,,,,,,,357,,,,,True,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,359,,,,,True,,,,,,,
0,,,,,,,,,,,,,,MARELLA,,,,,,,361,,,,,True,,MELLINI~,,,,,
1,,,,,,,,,,,,,,,,,,,,,361,,,,,,,GUADAGNI,,,,,
0,,,,,,,,,,,,,,,,,,,,,362,,,,,True,,,,,,,
0,,,,,,,,,,,,,,GIARDINI,,,,,,,364,,,,,,,FRASI~,,,,,
1,,,,,,,,,,,,,,,,,,,,,364,,,,,,,GUADAGNI,,,,,
0,,,,,,,,,,,,,,,,,,,,,365,,,,,True,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,372,,,,,,,GUADAGNI,,,,,
0,,,,,,,,,,,,,,BROWN-a,,,,,,,373,SIMPSON,,,,True,,GUADAGNI,,,GORDON,,
0,,,,,,,,,,,,,,,,,,,,,376,,,,,True,,PASSERINI~,,,,,
1,,,,,,,,,,,,,,,,,,,,,376,,,,,,,CURIONI~,,,,,
2,,,,,,,,,,,,,,,,,,,,,376,,,,,,,MONDINI~,,,,,
3,,,,,,,,,,,,,,,,,,,,,376,,,,,,,GUADAGNI,,,,,
4,,,,,,,,,,,,,,,,,,,,,376,,,,,,,CIPRANDI.],,,,,
0,,,,,,,,,,,,,,GIARDINI,,,,,,,378,,,,,,,FRASI~,,,,,
1,,,,,,,,,,,,,,,,,,,,,378,,,,,,,CIPRANDI,,,,,
0,,,,,,,,,,,,,,MARELLA,,,,,,,380,,,,,,,,,,GORDON,,
0,,,,,,,,,,,,,,,,,,,,,388,,,,,True,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,389,,,ARNE-m,,True,,TURNER~e,,,,,
1,,,,,,,,,,,,,,,,,,,,,389,,,,,,,BEARD,,,,,
2,,,,,,,,,,,,,,,,,,,,,389,,,,,,,YOUNG~I,,,,,
0,,,,,,,,,,,,,,,,,,,,,391,,,ARNE-m,,True,,TURNER~e,,,,,
1,,,,,,,,,,,,,,,,,,,,,391,,,,,,,BEARD,,,,,
2,,,,,,,,,,,,,,,,,,,,,391,,,,,,,YOUNG~I,,,,,
0,,,,,,,,,,,,,,DENNER,,,,,,,393,,,,,True,,YOUNG~I,,,,,
1,,,,,,,,,,,,,,,,,,,,,393,,,,,,,TYMMS,,,,,
0,,,,,,,,,,,,,,,,,,,,,397,,,,,,,PASSERINI~,,,,,
0,,,,,,,,,,,,,,,,,,,,,398,,,,,True,,,,,,,
0,,,,,,,,,,,,,,PINTO,,,,,,True,400,SIMPSON,,,,,,FRASI~,,,PASQUALINO,,
1,,,,,,,,,,,,,,,,,,,,,400,,,,,,,MATTEI~,,,,,
2,,,,,,,,,,,,,,,,,,,,,400,,,,,,,PAZZAGLIA,,,,,
0,,,,,,,,,,,,,,,,,,,,,401,,,,,,,MATTEI~,,,,,
0,,,,,,,,,,,,,,,,,,,,,402,,,,,,,FRASI~,,,,,
0,,,,,,,,,,,,,,,,,,,,,403,,,,,True,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,404,,,,,True,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,405,,,,,True,,CURIONI~,,,,,
1,,,,,,,,,,,,,,,,,,,,,405,,,,,,,THOMAS~,,,,,
0,,,,,,,,,,,,,,MARELLA,,,,,,,408,,,,,,,MATTEI~,,,,,
0,,,,,,,,,,,,,,,,,,,,,410,,,,,,,PASSERINI~,,,,,
1,,,,,,,,,,,,,,,,,,,,,410,,,,,,,MATTEI~,,,,,
2,,,,,,,,,,,,,,,,,,,,,410,,,,,,,PAZZAGLIA,,,,,
3,,,,,,,,,,,,,,,,,,,,,410,,,,,,,THOMAS~,,,,,
4,,,,,,,,,,,,,,,,,,,,,410,,,,,,,BATTISHILL,,,,,
0,,,,,,,,,,,,,,,,,,,,,414,,,,,True,,,,,,,
0,,,,,,,,,,,,,,BROWN-a,,,,,,,415,,,,,True,,POOKE~,,,,,
1,,,,,,,,,,,,,,,,,,,,,415,,,,,,,THOMAS~,,,,,
0,MILLER-j,,,,,,,,,,,,,HAY-r,,,,,,,418,SIMPSON,,,,True,,CURIONI~,,,CERVETTO-gb,,
0,BAUMGARTEN-s,,,,,,,,DAVIES-r,,,,,PINTO,,,,,,,422,EIFFERT,,,,,,FOURMANTEL~,,,PASQUALINO,,
1,,,,,,,,,,,,,,,,,,,,,422,,,,,,,MONDINI~,,,,,
0,,,,,,,,,,,,,,GIARDINI,,,,,,,424,,,,,True,,,,,,,
0,,,,,,,,,,,,,,BROWN-a,,,,,,,429,,,SMITH-jc,,,,FRASI~,,,PASQUALINO,,
1,,,,,,,,,,,,,,,,,,,,,429,,,,,,,CURIONI~,,,,,
2,,,,,,,,,,,,,,,,,,,,,429,,,,,,,YOUNG~i,,,,,
3,,,,,,,,,,,,,,,,,,,,,429,,,,,,,BEARD,,,,,
4,,,,,,,,,,,,,,,,,,,,,429,,,,,,,WASS,,,,,
0,,,,,,,,,,,,,,GIARDINI,,,,,,,432,,,,,,,MINGOTTI~,,,,,
1,,,,,,,,,,,,,,,,,,,,,432,,,,,,,CURIONI~,,,,,
0,,,,,,,,,,,,,,,,,,,,,433,,,,,True,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,434,,,,,True,,THOMAS~,,,,,
0,,,,,,,,,,,,,,,,,,,,,437,,,,,True,,CHAMPNESS,,,,,
1,,,,,,,,,,,,,,,,,,,,,437,,,,,,,YOUNG~2,,,,,
2,,,,,,,,,,,,,,,,,,,,,437,,,,,,,THOMAS~,,,,,
3,,,,,,,,,,,,,,,,,,,,,437,,,,,,,YOUNG_GENTLEWOMAN,,,,,
0,,,,,,,,,,,,,,OLIVER_Y_ASTORGA,,,,,,,438,,,,,True,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,439,,,,,True,,PASSERINI~,,,,,
0,,,,,,,,,,,,,,,,,,,,,445,,,ARNE-m,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,448,,,,,True,,THOMAS~,,,,,
1,,,,,,,,,,,,,,,,,,,,,448,,,,,,,YOUNG_GENTLEWOMAN,,,,,
0,,,,,,,,,,,,,,,,,,,,,449,,,,,True,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,453,,,,,True,,FRASI~,,,,,
1,,,,,,,,,,,,,,,,,,,,,453,,,,,,,YOUNG~2,,,,,
2,,,,,,,,,,,,,,,,,,,,,453,,,,,,,BEARD,,,,,
3,,,,,,,,,,,,,,,,,,,,,453,,,,,,,WASS,,,,,
4,,,,,,,,,,,,,,,,,,,,,453,,,,,,,BAILDON,,,,,
0,,,,,,,,,,,,,,,,,,,,True,458,,,,,True,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,459,,,,,True,,,,,,,
0,,,,,,,,,DAVIES~m,,,DAVIES~m,,MARELLA,,,,,,,460,SIMPSON,,,,,,YOUNG~2,,,CERVETTO-gb,,
1,,,,,,,,,DAVIES-r,,,,,,,,,,,,460,,,,,,,FOURMANTEL~,,,,,
2,,,,,,,,,,,,,,,,,,,,,460,,,,,,,THOMAS~,,,,,
0,,,,,,,,,,,,,,,,,,,,True,461,,,,,,,,,,,,
0,,,,,,,,,,,,,HAY-r,,,,,,,,463,,,,,,,FOURMANTEL~,,,,,
1,,,,,,,,,,,,,DAVIES-r,,,,,,,,463,,,,,,,,,,,,
2,,,,,,,,,,,,,PASQUALINO,,,,,,,,463,,,,,,,,,,,,
0,,,,,,,,,,,,,,BROWN-a,,,,,,,464,EIFFERT,,SMITH-jc,,,,FRASI~,,,PASQUALINO,,
1,,,,,,,,,,,,,,,,,,,,,464,,,,,,,YOUNG-i,,,,,
2,,,,,,,,,,,,,,,,,,,,,464,,,,,,,PERALTA~,,,,,
3,,,,,,,,,,,,,,,,,,,,,464,,,,,,,BEARD,,,,,
4,,,,,,,,,,,,,,,,,,,,,464,,,,,,,CHAMPNESS,,,,,
0,,,,,,,,,,,,,,,,,,,,True,465,,,,,True,,CHAMPNESS,,,,,
1,,,,,,,,,,,,,,,,,,,,,465,,,,,,,YOUNG~i,,,,,
2,,,,,,,,,,,,,,,,,,,,,465,,,,,,,FRASI~,,,,,
3,,,,,,,,,,,,,,,,,,,,,465,,,,,,,BEARD,,,,,
4,,,,,,,,,,,,,,,,,,,,,465,,,,,,,PERALTA~,,,,,
0,,,,,,,,,,,,,,,,,,,,True,467,,,,,True,,,,,,,
0,,,,,,,,,,,,,,,,,,,,True,468,,,,,True,,,,,,,
0,,,,,,,,,,,,,,,,,,,,True,470,,,,,True,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,471,,,,,True,,,,,,,
0,,,,,,,,,,,,,,GIARDINI,,,,,,,472,,,,,True,,MINGOTTI~,,,,,
1,,,,,,,,,,,,,,,,,,,,,472,,,,,,,PASSERINI~,,,,,
2,,,,,,,,,,,,,,,,,,,,,472,,,,,,,RICCIARELLI,,,,,
3,,,,,,,,,,,,,,,,,,,,,472,,,,,,,COX-1,,,,,
0,,,,,,,,,,,,,,,,,,,,True,474,,,,,True,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,478,,,,,True,,LADY,,,,,
1,,,,,,,,,,,,,,,,,,,,,478,,,,,,,GENTLEMAN,,,,,
0,,,,,,,,,,,,,,,,,,,,,479,,,,,,,PERALTA~,,,,,
0,,,,,,,,,,,,,,,,,,,,,480,,,,,,,PERALTA~,,,,,
1,,,,,,,,,,,,,,,,,,,,,480,,,,,,,YOUNG~2,,,,,
0,,,,,,,,,,,,,GIARDINI,,,,,,,,481,,,,,,,MINGOTTI~,,,,,
1,,,,,,,,,,,,,BESOZZI-a,,,,,,,,481,,,,,,,RICCIARELLI,,,,,
2,,,,,,,,,,,,,BESOZZI-c,,,,,,,,481,,,,,,,,,,,,
3,,,,,,,,,,,,,PINTO,,,,,,,,481,,,,,,,,,,,,
4,,,,,,,,,,,,,GORDON,,,,,,,,481,,,,,,,,,,,,
5,,,,,,,,,,,,,TACET,,,,,,,,481,,,,,,,,,,,,
0,,,,,,,,HANDEL,,,,,,,,,,,,,484,,,,,,,SAVAGE'S_BOY,,,,,
0,,,,,,,,,,,,,HAY-r,,,,,,,,485,,,,,,,FOURMANTEL~,,,,,
1,,,,,,,,,,,,,GORDON,,,,,,,,485,,,,,,,,,,,,
2,,,,,,,,,,,,,SIMPSON,,,,,,,,485,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,486,,,,,True,,,,,,,
0,,,STANLEY,,,,,,,,,,,,,,,,,,487,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,491,,,,,True,,THOMAS~,,,,,
1,,,,,,,,,,,,,,,,,,,,,491,,,,,,,CHAMPNESS,,,,,
2,,,,,,,,,,,,,,,,,,,,,491,,,,,,,KEAR,,,,,
3,,,,,,,,,,,,,,,,,,,,,491,,,,,,,GLANVILLE~,,,,,
0,,,,,,,,,,,,,,,,,,,,,500,,,,,True,,WASS,,,,,
1,,,,,,,,,,,,,,,,,,,,,500,,,,,,,KEAR,,,,,
2,,,,,,,,,,,,,,,,,,,,,500,,,,,,,YOUNG~2,,,,,
0,,,,,,,,,,,,,,,,,,,,True,502,,,,,True,,PASSERINI~,,,,,
0,,,,,,,,,,,,,,,,,,,,True,504,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,True,506,,,,,,,BEARD,,,,,
1,,,,,,,,,,,,,,,,,,,,,506,,,,,,,FRASI~,,,,,
2,,,,,,,,,,,,,,,,,,,,,506,,,,,,,YOUNG~i,,,,,
3,,,,,,,,,,,,,,,,,,,,,506,,,,,,,FREDERICK~,,,,,
4,,,,,,,,,,,,,,,,,,,,,506,,,,,,,CHAMPNESS,,,,,
0,,,,,,,,,,,,,,,,,,,,True,507,,,,,,,,,,,,
0,,,,,,,,,,,,,BROWN-a,,,,,,,,508,,,,,True,,BRENT~,,,,,
1,,,,,,,,,,,,,SIPRUTINI,,,,,,,,508,,,,,,,THOMAS~,,,,,
2,,,,,,,,,,,,,DAVIES~m,,,,,,,,508,,,,,,,,,,,,
3,,,,,,,,,,,,,DAVIES-r,,,,,,,,508,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,True,509,,,,,,,BEARD,,,,,
1,,,,,,,,,,,,,,,,,,,,,509,,,,,,,FREDERICK~,,,,,
2,,,,,,,,,,,,,,,,,,,,,509,,,,,,,FRASI~,,,,,
3,,,,,,,,,,,,,,,,,,,,,509,,,,,,,YOUNG~i,,,,,
4,,,,,,,,,,,,,,,,,,,,,509,,,,,,,CHAMPNESS,,,,,
0,,,,,,,,,,,,,,,,,,,,,510,,,,,True,,BRENT~,,,,,
1,,,,,,,,,,,,,,,,,,,,,510,,,,,,,*,,,,,
0,,,,,,,,,,,,,,,,,,,,True,511,,,,,,,FRASI~,,,,,
1,,,,,,,,,,,,,,,,,,,,,511,,,,,,,YOUNG~i,,,,,
2,,,,,,,,,,,,,,,,,,,,,511,,,,,,,FREDERICK~,,,,,
3,,,,,,,,,,,,,,,,,,,,,511,,,,,,,BEARD,,,,,
4,,,,,,,,,,,,,,,,,,,,,511,,,,,,,CHAMPNESS,,,,,
5,,,,,,,,,,,,,,,,,,,,,511,,,,,,,BAILDON,,,,,
0,,,,,,,,,,,,,,,,,,,,True,513,,,,,True,,FREDERICK~,,,,,
1,,,,,,,,,,,,,,,,,,,,,513,,,,,,,?,,,,,
0,,,,,,,,,,,,,,JACKSON-1,,,,,,,514,,,,,True,,FOURMANTEL~,,,,,
0,,,,,,,,,,,,,,GIARDINI,,,,,,,516,,,,,True,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,522,,,,,True,,,,,,,
0,,,,,,,,,,,,COOKE,,BROWN-a,,,,,,,523,,,,,True,,BEARD,,,GORDON,,FROUD
1,,,,,,,,,,,,,,,,,,,,,523,,,,,,,CHAMPNESS,,,,,
2,,,,,,,,,,,,,,,,,,,,,523,,,,,,,SOPER,,,,,
3,,,,,,,,,,,,,,,,,,,,,523,,,,,,,YOUNG~2,,,,,
0,,,,,,,,,,,,,,JACKSON-1,,,,,,,524,,,,,True,,BRENT~,,,,,
1,,,,,,,,,,,,,,,,,,,,,524,,,,,,,WASS,,,,,
0,,,,,,,,,,,,,,,,,,,,,525,,,,,True,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,526,,,,,,,FRASI~,,,,,
1,,,,,,,,,,,,,,,,,,,,,526,,,,,,,SOPER,,,,,
2,,,,,,,,,,,,,,,,,,,,,526,,,,,,,CHAMPNESS,,,,,
3,,,,,,,,,,,,,,,,,,,,,526,,,,,,,WASS,,,,,
0,,,,,,,,,,,,,,GIARDINI,,,,,,,527,,,,,,,MINGOTTI~,,,,,
1,,,,,,,,,,,,,,,,,,,,,527,,,,,,,RICCIARELLI,,,,,
0,,,,,,,,,,,,,,BROWN-a,,,,,,,533,,,,,,,FRASI~,,,,,
1,,,,,,,,,,,,,,,,,,,,,533,,,,,,,FREDERICK~,,,,,
2,,,,,,,,,,,,,,,,,,,,,533,,,,,,,YOUNG~i,,,,,
3,,,,,,,,,,,,,,,,,,,,,533,,,,,,,BEARD,,,,,
4,,,,,,,,,,,,,,,,,,,,,533,,,,,,,CHAMPNESS,,,,,
5,,,,,,,,,,,,,,,,,,,,,533,,,,,,,WASS,,,,,
0,,,,,,,,,,,,,,PINTO,,,,,,,534,,,,,,,THOMAS~,,,,,
1,,,,,,,,,,,,,,,,,,,,,534,,,,,,,CARTER~,,,,,
0,MACKPHERLING,,,,,,,,,HN,,,,JACKSON-1,,,,,,,535,SIMPSON,,,,True,TPT,THOMAS~,,,,,
1,,,,,,,,,,HN,,,,,,,,,,,535,,,,,,,,,,,,
2,,,,,,,,,,HN,,,,,,,,,,,535,,,,,,,,,,,,
0,,,,,,,,,,,,,,JACKSON-1,,,,,,,536,SIMPSON,,,,,,THOMAS~,,,PAXTON,,
1,,,,,,,,,,,,,,,,,,,,,536,,,,,,,GENTLEMAN,,,,,
0,,,,,,,,,,,,,,,,,,,,,537,,,,,True,,KOERBITZ,,,,,
1,,,,,,,,,,,,,,,,,,,,,537,,,,,,,CALORI~,,,,,
0,,,,,,,,,,,,,,,,,,,,,538,,,,,,,REINHOLD,,,,,
1,,,,,,,,,,,,,,,,,,,,,538,,,,,,,SERATINA~.],,,,,
0,,,,,,,,,,,,,,,,,,,,,539,,,,,True,,,,,,,
0,,,,,,,,,,,,,RANELAGH_orch,,,,,,,,541,,,,,True,,BEARD,,,,,
1,,,,,,,,,,,,,,,,,,,,,541,,,,,,,YOUNG~2,,,,,
2,,,,,,,,,,,,,,,,,,,,,541,,,,,,,SOPER,,,,,
3,,,,,,,,,,,,,,,,,,,,,541,,,,,,,CHAMPNESS,,,,,
0,,,,,,,,,,,,,,,,,,,,,543,,,,,True,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,545,,,,,,,SERATINA~,,,,,
1,,,,,,,,,,,,,,,,,,,,,545,,,,,,,GLANVILLE~,,,,,
2,,,,,,,,,,,,,,,,,,,,,545,,,,,,,REINHOLD,,,,,
3,,,,,,,,,,,,,,,,,,,,,545,,,,,,,KEAR,,,,,
0,,,,,,,,,,,,,,JACKSON-1,,,,,,,550,,,,,True,,THOMAS~,,,,,
0,,,,,,,,,,,,,,DUBOURG,,,,,,True,553,,,,,True,,FRASI~,,,,,
1,,,,,,,,,,,,,,,,,,,,,553,,,,,,,BRENT~,,,,,
2,,,,,,,,,,,,,,,,,,,,,553,,,,,,,FREDERICK~,,,,,
3,,,,,,,,,,,,,,,,,,,,,553,,,,,,,BEARD,,,,,
4,,,,,,,,,,,,,,,,,,,,,553,,,,,,,SELVES,,,,,
5,,,,,,,,,,,,,,,,,,,,,553,,,,,,,SOPER,,,,,
6,,,,,,,,,,,,,,,,,,,,,553,,,,,,,GENTLEMEN_OF_CR,,,,,
0,MILLER-j,,,,,,,,,,,"DUPUIS,",,,,,,,,,554,,,,,True,,FRASI~,,,,,
1,,,,,,,,,,,,FL,,,,,,,,,554,,,,,,,BRENT~,,,,,
2,,,,,,,,,,,,DAVIES~m,,,,,,,,,554,,,,,,,,,,,,
3,,,,,,,,,,,,DAVIES-r,,,,,,,,,554,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,557,,,,,True,,FRASI~,,,,,
1,,,,,,,,,,,,,,,,,,,,,557,,,,,,,BEARD,,,,,
2,,,,,,,,,,,,,,,,,,,,,557,,,,,,,WASS,,,,,
0,,,,,,,,,,,,,,,,,,,,True,558,,,,,True,,,,,,,
0,,,,,,,,,,,,,,,,,,,,True,559,,,,,,,,,,,,
0,,,,,,,,,KOTTOWSKI,,,,,,,,,,,,561,,,,,,,CALORI~,,,,,
1,,,,,,,,,,,,,,,,,,,,,561,,,,,,,RICCIARELLI,,,,,
2,,,,,,,,,,,,,,,,,,,,,561,,,,,,,TEDESCHINI,,,,,
3,,,,,,,,,,,,,,,,,,,,,561,,,,,,,KOTTOWSKI,,,,,
0,,,,,,,,,,,,,,,,,,,,True,562,,,,,True,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,564,,,,,True,,,,,,,
0,MILLER-j,,,,,,,,,,,,,HAY-r,,,,,,,565,SIMPSON,,,,True,,BRENT~,,,CERVETTO-gb,,
0,,,,,,,,,,,,,,,,,,,,True,568,,,,,True,,,,,,,
0,,,,,,,,,,,,,,HAY-r,,,,,,,571,,,,,,,BRENT~,,,,,
1,,,,,,,,,,,,,,,,,,,,,571,,,,,,,CARTER~,,,,,
0,,,,,,,,,,,,,PINTO,,,,,,,,573,,,,,,,RICCIARELLI,,,,,
1,,,,,,,,,,,,,VINCENT,,,,,,,,573,,,,,,,CALORI~,,,,,
2,,,,,,,,,,,,,ARNE-m,,,,,,,,573,,,,,,,CARTER~,,,,,
3,,,,,,,,,,,,,,,,,,,,,573,,,,,,,BRENT~,,,,,
0,,,,,,,,,,,,,,,,,,,,,574,,,,,True,,,,,,,
0,,,,,,,,,TACET,,,,,GIARDINI,,,,,,,577,,,,,True,,CASSANDRA~,,,,,
0,,,,,,,,,,,,,,BROWN-a,,,,,,,580,SIMPSON,,,,True,,BRENT~,,,CERVETTO-gb,,
0,,,,,,,,,,,,,,,,,,,,,581,,,,,,,SERATINA~,,,,,
1,,,,,,,,,,,,,,,,,,,,,581,,,,,,,GLANVILLE~,,,,,
2,,,,,,,,,,,,,,,,,,,,,581,,,,,,,REINHOLD,,,,,
3,,,,,,,,,,,,,,,,,,,,,581,,,,,,,GAUDRY.],,,,,
0,,,,,,,,,TACET,,,,,GIARDINI,,,,,,,583,VINCENT,,,,,,FRASI~,,,,,
0,,,,,,,,,,,,,,PASSERINI,,,,,,,585,,,,,,,PASSERINI~,,,,,
1,,,,,,,,,,,,,,,,,,,,,585,,,,,,,RICCIARELLI,,,,,
0,,,,,,,,,,,,,,,,,,,,,586,,,,,True,,,,,,,
0,,,,,,,,SMITH-jc,,,,,,BROWN-a,,,,,,,587,,,,,,,FRASI~,,,,,
1,,,,,,,,,,,,,,,,,,,,,587,,,,,,,RICCIARELLI,,,,,
2,,,,,,,,,,,,,,,,,,,,,587,,,,,,,SCOTT~,,,,,
3,,,,,,,,,,,,,,,,,,,,,587,,,,,,,BEARD,,,,,
4,,,,,,,,,,,,,,,,,,,,,587,,,,,,,CHAMPNESS,,,,,
0,,,,,,,,,,,,,,GIARDINI,,,,,,,588,,,,,True,,SOPER,,,,,
1,,,,,,,,,,,,,,,,,,,,,588,,,,,,,CHAMPNESS,,,,,
0,,,,,,,,,,,,,,FALCO,,,,,,,589,,,,,True,,CALORI~,,,,,
0,,,,,,,,SMITH-JC,,,,,,,,,,,,,591,,,,,True,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,592,,,,,True,,,,,,,
0,,,BOYCE,,,,,,,,,,RANELAGH_orch,,,,,,,,596,,,,,,,PRINCIPAL,,,,,
1,,,,,,,,,,,,,,,,,,,,,596,,,,,,,PERFORMERS,,,,,
2,,,,,,,,,,,,,,,,,,,,,596,,,,,,,IN,,,,,
3,,,,,,,,,,,,,,,,,,,,,596,,,,,,,ORATORIOS,,,,,
4,,,,,,,,,,,,,,,,,,,,,596,,,,,,,AND,,,,,
5,,,,,,,,,,,,,,,,,,,,,596,,,,,,,BOYS_OF_STP,,,,,
0,,,,,,,,,,,,,,,,,,,,,598,,,,,,,FRASI~,,,,,
1,,,,,,,,,,,,,,,,,,,,,598,,,,,,,YOUNG~2,,,,,
2,,,,,,,,,,,,,,,,,,,,,598,,,,,,,CHAMPNESS,,,,,
3,,,,,,,,,,,,,,,,,,,,,598,,,,,,,BEARD,,,,,
0,,,,,,,,,,,,,,,,,,,,,605,,,,,True,,,,,,,
0,,,,,,,,,,,,,,PASSERINI,,,,,,,610,,,,,True,,PASSERINI~,,,,,
1,,,,,,,,,,,,,,,,,,,,,610,,,,,,,FREDERICK~,,,,,
2,,,,,,,,,,,,,,,,,,,,,610,,,,,,,HUDSON,,,,,
3,,,,,,,,,,,,,,,,,,,,,610,,,,,,,CHAMPNESS,,,,,
0,,,,,,,,,,,,,,,,,,,,,611,,,,,True,,,,,,,
0,,,,,,,,,,,,,,PASSERINI,,,,,,,612,,,,,True,,PASSERINI~,,,,,
1,,,,,,,,,,,,,,,,,,,,,612,,,,,,,FREDERICK~,,,,,
2,,,,,,,,,,,,,,,,,,,,,612,,,,,,,HUDSON,,,,,
