,BN,CL,COND,DB,DBDR,DBN,DDR,DIR,FL,HN,HP,HPD,I,LEAD,MAND,MGL,MOVT,MOVTS,MS,NEW,No,OB,ORCH,ORG,PF,REVIEW,TPT,V,VA,VAR,VC,VDAG,VN
1,,,,,,,,,,,,,,,,,,,,,137,,,,,,,GALLI~,,,,,
2,,,,,,,,,,,,,,,,,,,,,137,,,,,,,FRASI~,,,,,
3,,,,,,,,,,,,,,,,,,,,,137,,,,,,,BRENT,,,,,
4,,,,,,,,,,,,,,,,,,,,,137,,,,,,,WASS,,,,,
5,,,,,,,,,,,,,,,,,,,,,137,,,,,,,BOY,,,,,
0,,,,,,,,,,,,,,,,,,,,,138,,,,,True,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,141,,,,,,,FRASI~,,,,,
1,,,,,,,,,,,,,,,,,,,,,141,,,,,,,BEARD,,,,,
0,,,,,,,,,,,,,,,,,,,,True,142,,,,,True,,FRASI~,,,,,
1,,,,,,,,,,,,,,,,,,,,,142,,,,,,,GALLI~,,,,,
0,,,,,,,,,,,,,,GIARDINI,,,,,,,144,,,,,True,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,145,,,,,,,YOUNG~I,,,,,
0,,,,,,,,,,,,,,,,,,,,,147,,,,,,,STEVENSON~,,,,,
1,,,,,,,,,,,,,,,,,,,,,147,,,,,,,BEARD,,,,,
0,,,,,,,,,,,,,,,,,,,,,148,,,,,True,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,149,,,,,True,,,,,,,
0,,,,,,,,,,,,,,GIARDINI,,,,,,,152,,,,,True,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,153,,,,,,,TURNER~e,,,,,
1,,,,,,,,,,,,,,,,,,,,,153,,,,,,,TURNER~1,,,,,
0,,,,,,,,,,,,,GIARDINI,,,,,,,,154,,,,,,,FRASI~,,,,,
1,,,,,,,,,,,,,VINCENT,,,,,,,,154,,,,,,,CHABRAN~,,,,,
2,,,,,,,,,,,,,COLLA,,,,,,,,154,,,,,,,,,,,,
3,,,,,,,,,,,,,MILLER-j,,,,,,,,154,,,,,,,,,,,,
4,,,,,,,,,,,,,PASQUALINO,,,,,,,,154,,,,,,,,,,,,
0,,,,,,,,,,,,,,CHABRAN,,,,,,True,156,,,,,True,,GAMBARINI~,,,,,
1,,,,,,,,,,,,,,,,,,,,,156,,,,,,,GALLI~,,,,,
0,,,,,,,,,,,,,,,,,,,,,162,,,,,True,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,165,,,,,True,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,169,,,,,True,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,170,,,,,True,,,,,,,
0,MILLER-j,,,,,,,,BALICOURT,,,,,PINTO,,,,,,,172,,,,,True,,FRASI~,,,BENEKI,,
0,,,,,,,,,,,,,,BROWN-a,,,,,,,173,,,,,,,STEVENSON~,,,,,
0,,,,,,,,HANDEL,,,,,,,,,,,,,174,,,HANDEL,,,,,,,,,
0,,,,,,,,,,,,,,HELLENDAAL,,,,,,,176,,,,,True,,GALLI~,,,,,
0,,,,,,,,,,,,,,GIARDINI,,,,,,True,177,,,,,True,,FRASI~,,,CERVETTO-gb,,
1,,,,,,,,,,,,,,,,,,,,,177,,,,,,,DELLAVALLE~,,,,,
0,,,,,,,,,,,,,,,,,,,,,178,,,,,True,,,,,,,
0,,,,,,,,,,,,,,GIARDINI,,,,,,,180,,,,,True,,,,,,,
0,,,,,,,,,,,,,,,,,,,,True,181,,,,,,,DAVIS,,,,,
1,,,,,,,,,,,,,,,,,,,,,181,,,,,,,DAVIS~1,,,,,
0,,,,,,,,,,,,,,GIARDINI,,,,,,,184,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,True,187,,,,,True,,NEW_ITALIAN,,,,,
1,,,,,,,,,,,,,,,,,,,,,187,,,,,,,WILDER,,,,,
0,,,,,,,,,,,,,,,,,,,,,188,,,,,True,,BEARD,,,,,
0,,,,,,,,,,,,,,,,,,,,,189,,,,,,,RAMELIO~,,,,,
1,,,,,,,,,,,,,,,,,,,,,189,,,,,,,WILDER,,,,,
0,,,,,,,,,,,,,,BROWN-a,,,,,,True,192,,,,,True,,,,,,,
0,,,,,,,,/,,,,,,,,,,,,,195,,,,,,,,,,,,
1,,,,,,,,LEAD,,,,,,,,,,,,,195,,,,,,,,,,,,
2,,,,,,,,GIARDINI,,,,,,,,,,,,,195,,,,,,,,,,,,
0,,,,,,,,,,,,,,BROWN-a,,,,,,,197,,,,,,,,,,,,
0,,,,,,,,,,,,,,HELLENDAAL,,,,,,,199,,,,,True,,GUADAGNI,,,,,
1,,,,,,,,,,,,,,,,,,,,,199,,,,,,,RAMELIO~,,,,,
0,,,,,,,,,,,,,,CHABRAN,,,,,,,200,,,,,True,,,,,,,FROUD
0,,,,,,,,,,,,,,HELLENDAAL,,,,,,,206,,,,,True,,GALLI~,CATTANEI,,CERVETTO-gb,,
0,BAUMGARTEN-s,,,,,,,,,,,,,BROWN-a,,,,,,,209,,,,,True,,,,,CERVETTO-gb,,
0,,,,,,,,,,,,,,CHABRAN,,,,,,,210,,,,,,,RAMELIO~,,,GORDON,,
1,,,,,,,,,,,,,,,,,,,,,210,,,,,,,GUADAGNI,,,,,
2,,,,,,,,,,,,,,,,,,,,,210,,,,,,,RIVIERI,,,,,
0,,,,,,,,,,,,,,,,,,,,,212,,,,,,,FRASI~,,,,,
0,,,STANLEY,,,,,,,,,,,,,,,,,,214,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,215,,,,,True,,,,,,,
0,,,,,,,,,,,,,,CHABRAN,,,,,,,216,,,,,True,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,219,,,,,True,,,,,,,
0,,,,,,,,,,,,,,HELLENDAAL,,,,,,True,221,,,,,True,,,,,,,
0,,,PASSERINI,,,,,,,,,,,,,,,,,,223,,,,,,,,,,,,
0,,,,,,,,,,,,,,CHABRAN,,,,,,,226,,,,,True,,,,,,,
0,,,,,,,,,,,,,,PASSERINI,,,,,,,228,PLA-1,,,,True,,PASSERINI~,,,,,
1,,,,,,,,,,,,,,,,,,,,,228,,,,,,,GUADAGNI,,,,,
0,,,,,,,,,,,,,,,,,,,,,229,,,,,True,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,231,,,,,True,,,,,,,
0,MILLER-j,,,,,,,,,,,,,CHABRAN,,,,,,,233,,,,,True,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,238,,,,,True,,,,,,,
0,,,,,,,,,,,,,,GIARDINI,,,,,,,239,,,,,,,FRASI~,,,,,
1,,,,,,,,,,,,,,,,,,,,,239,,,,,,,GALLI~,,,,,
2,,,,,,,,,,,,,,,,,,,,,239,,,,,,,BEARD,,,,,
3,,,,,,,,,,,,,,,,,,,,,239,,,,,,,WASS,,,,,
0,,,,,,,,,,,,,,CHABRAN,,,,,,,240,,,,,True,,RAMELIO~,,,,,
1,,,,,,,,,,,,,,,,,,,,,240,,,,,,,MOORE,,,,,
0,,,,,,,,,,,,,,,,,,,,,242,,,,,True,,,,,,,
0,,,,,,,,,,,,,,BROWN-a,,,,,,,243,,,,,,,GALLI~,,,GORDON,,JACKSON-1
1,,,,,,,,,,,,,,,,,,,,,243,,,,,,,BENNETT~,,,,,
0,,,,,,,,,,,,,,,,,,,,,246,,,,,True,,FRASI~,,,,,
1,,,,,,,,,,,,,,,,,,,,,246,,,,,,,RANIERI,,,,,
0,,,,,,,,,,,,,,HELLENDAAL,,,,,,,248,PLA-g,,,,True,,CHABRAN~,,,CERVETTO-gb,,
