Num,BN,CL,COND,DB,DBDR,DBN,DDR,DIR,FL,HN,HP,HPD,I,LEAD,MAND,MGL,MOVT,MOVTS,MS,NEW,No,OB,ORCH,ORG,PF,REVIEW,TPT,V,VA,VAR,VC,VDAG,VN,GU,PSALTERY
0.0,,,,,,,,,,,,,,,,,,,,,145.0,,,,,,,YOUNG~I,,,,,,,
0.0,,,,,,,,,,,,,,,,,,,,,147.0,,,,,,,STEVENSON~,,,,,,,
1.0,,,,,,,,,,,,,,,,,,,,,147.0,,,,,,,BEARD,,,,,,,
0.0,,,,,,,,,,,,,,,,,,,,,148.0,,,,,False,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,,,,,149.0,,,,,False,,,,,,,,,
0.0,,,,,,,,,,,,,,GIARDINI,,,,,,,152.0,,,,,False,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,,,,,153.0,,,,,,,TURNER~e,,,,,,,
1.0,,,,,,,,,,,,,,,,,,,,,153.0,,,,,,,TURNER~1,,,,,,,
0.0,,,,,,,,,,,,,GIARDINI,,,,,,,,154.0,,,,,,,FRASI~,,,,,,,
1.0,,,,,,,,,,,,,VINCENT,,,,,,,,154.0,,,,,,,CHABRAN~,,,,,,,
2.0,,,,,,,,,,,,,COLLA,,,,,,,,154.0,,,,,,,,,,,,,,
3.0,,,,,,,,,,,,,MILLER-j,,,,,,,,154.0,,,,,,,,,,,,,,
4.0,,,,,,,,,,,,,PASQUALINO,,,,,,,,154.0,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,CHABRAN,,,,,,True,156.0,,,,,False,,GAMBARINI~,,,,,,,
1.0,,,,,,,,,,,,,,,,,,,,,156.0,,,,,False,,GALLI~,,,,,,,
0.0,,,,,,,,,,,,,,,,,,,,,162.0,,,,,False,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,,,,,165.0,,,,,False,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,,,,,169.0,,,,,False,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,,,,,170.0,,,,,False,,,,,,,,,
