,No,Place,Title,Type,Price,Programme,Advert,Review,Notes,DateTime
1668,1669,HAY,HAY ORATORIO 73 [9TH],OS,B 5s; P 3s; FG 2s; SG 1s,HANDEL o ^MESSIAH^ <SACRED ORATORIO>. V SMITH~1 HARPER~ GALLI~ VERNON MEREDITH-1. SL VC CROSDILL; CN CL MAHON.,PA,,[LS.],1773-03-26 18:30:00
1669,1670,H,GALLI~ 73,CB,10s 6d,DIR BACH ABEL. V GRASSI~ GALLI~. SL VDAG ABEL; CN VN CRAMER-w; CN OB FISCHER; CN BN EICHNER; CN HN PUNTO; SL PF BACH; GLUCK SG GALLI~ 'RASSERANA'.,PA,,Room has been much improved.,
1670,1671,P,MC 73 *,CB,10s 6d,DIR FISHER.  1: HANDEL CH <CHS> from HANDEL o ^SAMSON^; BACH OV; ARNOLD FP; SG LINLEY~M1 <M_LINLEY>; BACH FP.  2: RICHTER FP; ABEL OV; SG LINLEY~M1; FISHER FP (NEW); STAMITZ OV; SG LINLEY~M1; HANDEL o ^CORONATION_ANTHEM^ ^ZADOK_THE_PRIEST^.,PA,,* Annual ball (with concert) for Master of Ceremonies at P. Doors open at 2000. Band of horns and clarinets.,
1671,1672,A/W,BACH-ABEL 73 10TH,CS,,DIR BACH; [ABEL].,PA,,,1773-03-31 19:00:00
1672,1673,DL,DL ORATORIO 73 [10TH],OS,B 10s 6d; P 5s; FG 3s 6d; SG 2s,HANDEL o ^MESSIAH^ <SACRED ORATORIO>. V LINLEY~e WEICHSELL~f LINLEY~M1 <MARY_LINLEY> NORRIS PARRY-2.,PA,,[LS.],1773-03-31 18:30:00
1673,1674,CG,CG ORATORIO 73 [10TH],OS,P 5s; B 4s; FG 3s; SG 2s,HANDEL o ^MESSIAH^ <SACRED ORATORIO> [replaced ARNE-ta o ^JUDITH^]. V CATLEY~ MATTOCKS~ VENABLES~ RISTORINI REINHOLD. END PART1: CN HN SPANDAU. END PART2: CN ORG ARNE-m <MR>.,PA; PA 27 Mar,,[LS.],1773-03-31 18:30:00
1674,1675,HAY,HAY ORATORIO 73 [10TH],OS,B 5s; P 3s; FG 2s; SG 1s,ARNOLD o ^THE_PRODIGAL_SON^ <ORATORIO>. V SMITH~1 HARPER~ GALLI~ VERNON MEREDITH-1. SL VC CROSDILL; CN CL MAHON.,PA,,[LS.],1773-03-31 18:30:00
1675,1676,DL,DL ORATORIO 73 [11TH],OS,B 10s 6d; P 5s; FG 3s 6d; SG 2s,HANDEL o ^MESSIAH^ <SACRED ORATORIO>. V LINLEY~e WEICHSELL~f LINLEY~M1 <MARY_LINLEY> NORRIS PARRY-2.,PA,,[LS.],1773-04-02 18:30:00
1676,1677,CG,CG ORATORIO 73 [11TH],OS,P 5s; B 4s; FG 3s; SG 2s,HANDEL o ^MESSIAH^ <SACRED ORATORIO>. V CATLEY~ MATTOCKS~ VENABLES~ RISTORINI REINHOLD. END PART1: CN HN SPANDAU. END PART2: CN VN BARTHELEMON.,PA,,[LS.],1773-04-02 18:30:00
1677,1678,HAY,HAY ORATORIO 73 [11TH],OS,B 5s; P 3s; FG 2s; SG 1s,ARNOLD o ^THE_PRODIGAL_SON^ <ORATORIO>. V SMITH~1 HARPER~ GALLI~ VERNON MEREDITH-1. SL VN AGUS-j; CN CL MAHON.,PA,,[LS.],1773-04-02 18:30:00
