,Composer,From,Genre,No,Title_of_Piece,Instrument_Num,Instrument,Performer
284,HANDEL,HANDEL O ^ESTHER^,OV,112,0,0,0.0,0.0
285,PALMA-2,0,SG,112,'SHEPHERD',0,0.0,SHEWARD~
286,LAMPUGNANI,0,SG,112,'ALMA_CHE',0,0.0,GALLI~
287,0,0,CN,112,0,0,VC,PASQUALINO
288,HANDEL,0,SG,112,'BUT_OH',0,0.0,FRANCESINA~
289,HASSE,0,SG,112,'CHI_NON',0,0.0,GALLI~
290,RAMEAU,0,CN,112,0,0,HPD,OGLE
291,0,0,CN,112,0,0,OB,VINCENT
292,PASQUALI,0,SG,112,'O_'TIS',0,0.0,SHEWARD~
293,0,0,SG,112,'FRA_TUTTE',0,0.0,FRANCESINA~
294,0,0,SL,112,0,0,VN,GIARDINI
295,CIAMPI,0,SG,112,'LA_PER',0,0.0,GALLI~
296,PALMA-2,0,SG,112,'SE_L'AMISTA',0,0.0,FRANCESINA~
297,GEMINIANI,0,CNGR,112,0,0,0.0,4TH
298,HANDEL,HANDEL O ^ALCINA^,OV,113,0,0,0.0,0.0
299,PASQUALI,0,SG,113,'WHERE_THE_BEE',0,0.0,SHEWARD~
300,LAMPUGNANI,0,SG,113,'QUANDO_MIRA',0,0.0,FRANCESINA~
301,0,0,SL,113,0,0,VC,PASQUALINO
302,0,0,SG,113,'SE_CHE',0,0.0,GALLI~
303,ALBERTI,0,SG,113,'CARO_SPOLO',0,0.0,FRANCESINA~
304,0,0,CN,113,0,0,VN,GIARDINI
305,AVISON,0,CN,113,0,0,HPD,OGLE
306,0,0,SG,113,'TROPO_CARO',0,0.0,SHEWARD~
307,0,0,SG,113,'SE_SPONTAN',0,0.0,GALLI~
308,0,0,SL,113,0,0,OB,VINCENT
309,HASSE,0,SG,113,'SEI_DANNI',0,0.0,FRANCESINA~
310,PALMA-2,0,SG,113,'SPESSO_MI',0,0.0,GALLI~
311,GEMINIANI,0,CNGR,113,0,0,0.0,0.0
312,HANDEL,HANDEL O ^ALEXANDER'S_FEAST^,OV,115,0,0,0.0,0.0
313,HANDEL,0,SG,115,'TO_SONG',0,0.0,SHEWARD~
314,HASSE,0,SG,115,'SE_AL',0,0.0,FRANCESINA~
315,GIARDINI,0,DT,115,0,0,HPD,OGLE
316,GIARDINI,0,DT,115,0,1,OB,VINCENT
317,VERACINI,0,SG,115,'OH_INAS',0,0.0,GALLI~
318,TERRADELLAS,0,SG,115,'SE_PERDE',0,0.0,FRANCESINA~
319,0,0,CN,115,0,0,VC,PASQUALINO
320,0,0,CN,115,0,0,BN,BAUMGARTEN-s
321,PASQUALI,0,SG,115,'GENTLE_SWAINS',0,0.0,SHEWARD~
322,GALUPPI,0,SG,115,'QUANDO_DIREI',0,0.0,GALLI~
323,0,0,SL,115,0,0,VN,GIARDINI
324,TERRADELLAS,0,SG,115,'SEI_BELLA',0,0.0,FRANCESINA~
325,GIONACCHINO,0,SG,115,'CHI_NON',0,0.0,GALLI~
326,GEMINIANI,0,CNGR,115,0,0,0.0,1ST
327,HANDEL,HANDEL O ^SAMSON^,OV,117,0,0,0.0,0.0
328,ALBERTI,0,SG,117,'CARO_SPOSO',0,0.0,MANFREDINI
329,0,0,CN,117,0,0,BN,BAUMGARTEN-s
330,BARBANDT,0,SG,117,'SI_CARO',0,0.0,GALLI~
331,0,0,SL,117,0,0,VC,BENEKI
332,SAMMARTINI,0,CNGR,117,0,0,0.0,0.0
333,BARBANDT,0,SYM,117,0,0,0.0,0.0
334,BARBANDT,0,SG,117,'IL_MIO',0,0.0,GALLI~
335,0,0,SL,117,0,0,VN,GIARDINI
336,BARBANDT,0,SYM,117,0,0,0.0,0.0
337,0,0,DT,117,'TU_VUOI',0,v,GALLI~
338,0,0,DT,117,'TU_VUOI',1,v,MANFREDINI
339,BARBANDT,0,CN,117,0,0,OB,BARBANDT
340,BARBANDT,0,CN,117,0,0,ORG,BARBANDT
341,GIULINI,0,OV,118,0,0,0.0,0.0
342,PASQUALI,0,SG,118,'THE_HERO',0,0.0,SHEWARD~
343,JOMMELLI,0,SG,118,'CARE_LUCI',0,0.0,FRANCESINA~
344,0,0,SL,118,0,0,VC,PASQUALINO
345,TERRADELLAS,0,SG,118,'NON_SO',0,0.0,GALLI~
346,HASSE,0,SG,118,'PARTO_CON',0,0.0,FRANCESINA~
347,HANDEL,0,CN,118,0,0,HPD,OGLE
348,0,0,CN,118,0,0,OB,VINCENT
349,HANDEL,0,SG,118,'HOW_BLEST',0,0.0,SHEWARD~
350,VINCI,0,SG,118,'VO_SOLCANDO',0,0.0,GALLI~
351,0,0,SL,118,0,0,VN,GIARDINI
352,HASSE,0,SG,118,'RITORNO',0,0.0,FRANCESINA~
353,LAMPUGNANI,0,SG,118,'A_ME',0,0.0,GALLI~
354,GEMINIANI,0,CNGR,118,0,0,0.0,0.0
355,0,0,SL,119,0,0,VN,CHABRAN
356,0,0,SL,120,0,0,VN,BROWN-a
357,0,0,CN,120,0,0,HPD,FROUD
358,0,0,CN,120,0,0,VC,JONES-G
359,0,0,SG,120,0,0,0.0,BEARD
360,HANDEL,0,OV,121,0,0,0.0,0.0
361,HANDEL,0,SG,121,'WITH_RAVISH'D',0,0.0,SHEWARD~
362,LAMPUGNANI,0,SG,121,'SE_PACE',0,0.0,FRANCESINA~
363,0,0,SL,121,0,0,HPD,OGLE
364,LAMPUGNANI,0,SG,121,'A_SE',0,0.0,GALLI~
365,HASSE,0,SG,121,'MIO_COR',0,0.0,FRANCESINA~
366,0,0,CN,121,0,0,VN,GIARDINI
367,0,0,CN,121,0,0,BN,BAUMGARTEN-s
368,0,0,SG,121,'BLEST_AS',0,0.0,SHEWARD~
369,MANFREDINI,0,SG,121,'ALMEN_SE',0,0.0,GALLI~
370,0,0,SL,121,0,0,OB,VINCENT
371,ARAIA,0,SG,121,'SCHERZA_LA',0,0.0,FRANCESINA~
372,CIAMPI,0,SG,121,'VARCAN_CON',0,0.0,GALLI~
373,GEMINIANI,0,CNGR,121,0,0,0.0,0.0
374,0,0,CN,122,0,0,VC,JONES-G
375,0,0,CN,122,0,0,BN,MILLER-j
376,0,0,CN,122,0,0,HPD,THOMPSON~1
377,STANLEY,0,SG,122,0,0,0.0,THOMPSON~1
378,HANDEL,0,SG,122,0,0,0.0,THOMPSON~1
379,HANDEL,HANDEL O  HANDEL SG THOMPSON~1,CH,122,0,0,0.0,0.0
380,0,0,SL,123,0,0,VN,BROWN-a
381,PIECE,0,0,123,0,0,DRS,WOODBRIDGE-J
382,GIULINI,0,OV,124,0,0,0.0,0.0
383,PASQUALI,0,SG,124,'O_'TIS',0,0.0,SHEWARD~
384,LAMPUGNANI,0,SG,124,'DI_QUELO',0,0.0,GALLI~
385,0,0,SL,124,0,0,OB,VINCENT
386,CIAMPI,0,SG,124,'DAL_LABRO',0,0.0,MEYER~
387,HASSE,0,SG,124,'NON_ARAGION',0,0.0,GALLI~
388,PASQUALI,0,CN,124,0,0,HPD,OGLE
389,0,0,CN,124,0,0,VC,PASQUALINO
390,HANDEL,0,SG,124,'AS_WHEN',0,0.0,SHEWARD~
391,PALMA-2,0,SG,124,'BASTA_COSI',0,0.0,GALLI~
392,0,0,SL,124,0,0,VN,GIARDINI
393,CIAMPI,0,SG,124,'RENDIMI',0,0.0,MEYER~
394,BERNASCONI,0,SG,124,'RETORNI',0,0.0,GALLI~
395,CORELLI,0,CNGR,124,0,0,0.0,0.0
396,HANDEL,0,OV,126,0,0,0.0,0.0
397,STANLEY,0,SG,126,'WHO'LL_BUY',0,0.0,SHEWARD~
398,HANDEL,0,SG,126,'THE_MORNING',0,0.0,FRANCESINA~
399,0,0,SL,126,0,0,VC,PASQUALINO
400,0,0,SG,126,'SO_CHE',0,0.0,GALLI~
401,HANDEL,0,SG,126,'MYSELF_I',0,0.0,FRANCESINA~
402,GEMINIANI,0,CNGR,126,0,0,0.0,0.0
403,0,0,CN,126,0,0,OB,VINCENT
404,LAMPUGNANI,0,SG,126,'BEL_PIACER',0,0.0,SHEWARD~
405,CIAMPI,0,SG,126,'PASTORELLA',0,0.0,GALLI~
406,0,0,SL,126,0,0,VN,GIARDINI
407,BARSANTI,0,SG,126,'RITORNE',0,0.0,FRANCESINA~
408,CIAMPI,0,SG,126,'QUEL_RUSCELETO',0,0.0,GALLI~
409,CORELLI,0,CNGR,126,0,0,0.0,8TH
410,0,0,SG,127,'THE_HINT',0,0.0,0.0
411,0,0,SL,127,0,0,VN,BROWN-a
412,0,0,CN,127,0,0,HPD,BUTLER
413,0,0,SL,127,0,0,VC,JONES-g
414,0,0,CN,127,0,0,BN,BAUMGARTEN-s
415,HANDEL,HANDEL O ^OTTONE^,OV,128,0,0,0.0,0.0
416,HANDEL,0,CN,128,0,0,HP,gwynn
417,TERRADELLAS,0,SG,128,'SE_SPUNTAN',0,0.0,GALLI~
418,GEMINIANI,0,CNGR,128,0,0,0.0,1ST
419,GALUPPI,0,SG,128,'QUANDO',0,0.0,GALLI~
420,PIECE,0,0,128,0,0,HP,gwynn
421,HANDEL,0,CN,128,0,0,HP,gwynn
422,HANDEL,0,SG,128,'RETURN_O_GOD',0,0.0,GALLI~
423,0,0,SL,128,0,0,VN,GIARDINI
424,PALMA-2,0,SG,128,'BASTA_COSI',0,0.0,GALLI~
425,0,0,CNGR,128,0,0,0.0,0.0
426,PIECE,0,0,128,0,0,HP,gwynn
427,HANDEL,0,O,129,^JOSHUA^,0,0.0,0.0
428,HANDEL,0,OV,130,0,0,0.0,0.0
429,PASQUALI,0,SG,130,'WHERE_THE_BEE',0,0.0,SHEWARD~
430,CONFORTO,0,SG,130,'IO_NON_SO',0,0.0,FRANCESINA~
431,0,0,CN,130,0,0,BN,MILLER-j
432,GLUCK,0,SG,130,'RASSERENA',0,0.0,GALLI~
433,SCHIASSI,0,SG,130,'L'ALTO_IDEA',0,0.0,FRASI~
434,HANDEL,0,CN,130,0,0,HPD,OGLE
435,0,0,CN,130,0,0,OB,VINCENT
436,HANDEL,0,SG,130,'COME_EVER',0,0.0,SHEWARD~
