0,1,2,3,4,No
0.0,5.0,,,,2736
0.0,6.0,,,,2737
0.0,4.0,,,,2738
0.0,5.0,,,,2745
0.0,7.0,,,,2747
0.0,6.0,,,,2748
0.0,6.0,,,,2749
0.0,6.0,,,,2753
0.0,6.0,,,,2755
0.0,6.0,,,,2757
0.0,6.0,,,,2758
0.0,6.0,,,,2759
0.0,6.0,,,,2763
2.0,,,,,2765
0.0,6.0,,,,2767
0.0,7.0,,,,2768
0.0,5.0,,,,2770
0.0,6.0,,,,2773
0.0,5.0,,,,2774
0.0,5.0,,,,2777
0.0,6.0,,,,2781
2.0,,,,,2782
0.0,6.0,,,,2784
2.0,,,,,2788
0.0,6.0,,,,2789
0.0,9.0,,,,2790
0.0,7.0,,,,2791
2.0,,,,,2792
0.0,5.0,,,,2794
2.0,,,,,2796
0.0,6.0,,,,2797
3.0,,,,,2798
0.0,4.0,,,,2800
4.0,,,,,2801
0.0,7.0,,,,2802
0.0,6.0,,,,2803
3.0,,,,,2805
0.0,5.0,,,,2810
0.0,6.0,,,,2811
0.0,5.0,,,,2813
0.0,6.0,,,,2814
0.0,7.0,,,,2815
0.0,6.0,,,,2816
0.0,6.0,,,,2817
0.0,7.0,,,,2819
0.0,7.0,,,,2820
0.0,2.0,,,,2822
0.0,6.0,,,,2823
0.0,6.0,,,,2825
0.0,5.0,,,,2827
1.0,,,,,2831
0.0,11.0,,,,2834
0.0,12.0,,,,2835
0.0,10.0,,,,2837
0.0,10.0,,,,2838
0.0,10.0,,,,2840
0.0,10.0,,,,2841
0.0,10.0,,,,2842
0.0,10.0,,,,2843
0.0,10.0,,,,2845
0.0,10.0,,,,2846
0.0,12.0,,,,2847
0.0,11.0,,,,2848
0.0,12.0,,,,2849
0.0,12.0,,,,2850
0.0,12.0,,,,2851
0.0,5.0,,,,2852
0.0,12.0,,,,2853
0.0,12.0,,,,2854
0.0,12.0,,,,2855
0.0,12.0,,,,2856
0.0,12.0,,,,2857
0.0,12.0,,,,2858
0.0,12.0,,,,2859
0.0,12.0,,,,2860
0.0,12.0,,,,2861
0.0,12.0,,,,2862
0.0,12.0,,,,2863
0.0,12.0,,,,2864
0.0,10.0,,,,2865
0.0,12.0,,,,2866
0.0,10.0,,,,2867
0.0,12.0,,,,2868
0.0,12.0,,,,2869
0.0,11.0,,,,2870
0.0,12.0,,,,2871
0.0,12.0,,,,2872
0.0,12.0,,,,2873
0.0,12.0,,,,2874
0.0,12.0,,,,2875
0.0,12.0,,,,2876
0.0,12.0,,,,2877
0.0,12.0,,,,2878
0.0,12.0,,,,2879
0.0,12.0,,,,2880
0.0,12.0,,,,2881
0.0,12.0,,,,2882
0.0,10.0,,,,2883
0.0,12.0,,,,2884
0.0,12.0,,,,2885
0.0,12.0,,,,2886
0.0,12.0,,,,2887
0.0,12.0,,,,2888
0.0,12.0,,,,2889
0.0,12.0,,,,2891
0.0,12.0,,,,2892
11.0,,,,,2893
0.0,12.0,,,,2894
0.0,12.0,,,,2895
0.0,12.0,,,,2896
0.0,12.0,,,,2897
0.0,12.0,,,,2898
0.0,12.0,,,,2899
0.0,12.0,,,,2900
0.0,12.0,,,,2901
0.0,12.0,,,,2902
0.0,12.0,,,,2903
0.0,12.0,,,,2904
0.0,12.0,,,,2905
0.0,7.0,,,,2912
0.0,7.0,,,,2914
0.0,7.0,,,,2916
0.0,6.0,,,,2917
0.0,7.0,,,,2919
0.0,7.0,,,,2920
0.0,8.0,,,,2922
0.0,6.0,,,,2923
0.0,6.0,,,,2924
0.0,6.0,,,,2925
0.0,7.0,,,,2927
0.0,6.0,,,,2929
0.0,5.0,,,,2930
0.0,6.0,,,,2932
0.0,6.0,,,,2933
0.0,6.0,,,,2935
0.0,6.0,,,,2936
0.0,6.0,,,,2937
0.0,7.0,,,,2938
0.0,6.0,,,,2939
0.0,6.0,,,,2940
0.0,5.0,,,,2941
0.0,6.0,,,,2944
0.0,7.0,,,,2945
6.0,,,,,2948
0.0,6.0,,,,2951
0.0,6.0,,,,2956
0.0,5.0,,,,2958
0.0,6.0,,,,2962
3.0,,,,,2963
0.0,6.0,,,,2964
0.0,6.0,,,,2967
2.0,,,,,2968
1.0,8.0,,,,2972
3.0,9.0,15.0,,,2973
0.0,6.0,,,,2974
0.0,6.0,,,,2975
6.0,,,,,2977
0.0,6.0,,,,2978
0.0,6.0,,,,2979
0.0,5.0,,,,2982
2.0,8.0,,,,2983
